Epoch,Train_Loss,Val_Loss,Train_PPL,Val_PPL
1,17.7806,7.6226,52725815.99,2043.87
2,7.046,6.0769,1148.29,435.69
3,6.1329,5.7389,460.77,310.73
4,5.7618,5.4266,317.93,227.37
5,5.4376,5.108,229.9,165.34
6,5.1676,4.9116,175.49,135.85
7,4.9858,4.7612,146.32,116.89
8,4.8576,4.7684,128.71,117.73
9,4.7608,4.6651,116.84,106.18
10,4.6838,4.6258,108.18,102.08
11,4.6193,4.4778,101.42,88.04
12,4.5626,4.4976,95.83,89.8
13,4.5113,4.4788,91.04,88.13
14,4.4653,4.4935,86.94,89.44
15,4.4239,4.4185,83.42,82.97
16,4.3848,4.4624,80.22,86.69
17,4.3492,4.3941,77.41,80.97
18,4.3166,4.352,74.93,77.64
19,4.2852,4.3317,72.62,76.08
20,4.2579,4.3606,70.66,78.3
21,4.2328,4.3054,68.91,74.1
22,4.2102,4.2852,67.37,72.62
23,4.1905,4.3444,66.06,77.04
24,4.1729,4.3037,64.9,73.97
25,4.1579,4.3365,63.94,76.44
26,4.1464,4.3559,63.21,77.94
27,4.1377,4.3293,62.66,75.89
28,4.1317,4.3462,62.29,77.18
29,4.1274,4.3443,62.02,77.04
30,4.1258,4.335,61.92,76.32
